Dimension,NumInstances,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_IterationsSolved,LS_ONLY_SECANT_IterTimeRatio,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_IterationsSolved,LS_ADAPTIVE_IterTimeRatio,LS_AGNOSTIC_Time,LS_AGNOSTIC_DualGapNotSolved,LS_AGNOSTIC_IterationsSolved,LS_AGNOSTIC_IterTimeRatio,LS_BACKTRACKING_Time,LS_BACKTRACKING_DualGapNotSolved,LS_BACKTRACKING_IterationsSolved,LS_BACKTRACKING_IterTimeRatio
100,5,0.2,<1e-7,306,1530.0,0.3,<1e-7,653,2176.7,3061.6,[<1e-7],> 9M,2523.4,0.1,<1e-7,219,2190.0
200,5,1.1,<1e-7,459,417.3,1.4,<1e-7,915,653.6,3600.0,2.34e-07,--,948.8,0.8,<1e-7,376,470.0
300,5,128.0,<1e-7,534,4.2,64.9,[<1e-7],1088,13.4,3600.0,1.80e-05,--,15.4,105.3,<1e-7,451,4.3
400,5,439.7,[<1e-7],780,1.4,327.2,<1e-7,1423,4.3,3600.0,4.68e-05,--,9.0,241.3,<1e-7,648,2.7
500,5,376.1,<1e-7,812,2.2,775.4,<1e-7,1570,2.0,3600.0,7.57e-05,--,6.8,384.8,<1e-7,727,1.9
600,5,371.0,<1e-7,876,2.4,1354.2,[<1e-7],1585,0.9,3600.0,8.03e-05,--,6.9,415.2,<1e-7,815,2.0
700,5,728.5,<1e-7,1029,1.4,1523.1,[<1e-7],1866,0.7,3600.0,4.74e-04,--,3.1,589.7,<1e-7,912,1.5
800,5,1066.7,<1e-7,1096,1.0,1268.0,<1e-7,1986,1.6,3600.0,6.06e-04,--,2.5,884.8,<1e-7,998,1.1
900,5,1881.2,[<1e-7],1228,0.5,2282.9,<1e-7,2177,1.0,3600.0,9.85e-04,--,1.3,1294.8,<1e-7,1131,0.9
1000,5,3413.0,8.08e-05,1334,0.3,3389.9,2.90e-07,2212,0.7,3600.0,1.09e-03,--,1.0,1978.3,<1e-7,1199,0.6
