Dimension,NumInstances,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_IterationsSolved,LS_ONLY_SECANT_IterTimeRatio,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_IterationsSolved,LS_ADAPTIVE_IterTimeRatio,LS_AGNOSTIC_Time,LS_AGNOSTIC_DualGapNotSolved,LS_AGNOSTIC_IterationsSolved,LS_AGNOSTIC_IterTimeRatio,LS_BACKTRACKING_Time,LS_BACKTRACKING_DualGapNotSolved,LS_BACKTRACKING_IterationsSolved,LS_BACKTRACKING_IterTimeRatio
10000,5,0.4,<1e-7,454,1135.0,0.4,<1e-7,435,1087.5,2.5,<1e-7,17323,6929.2,2.2,<1e-7,4528,2058.2
40000,5,26.3,<1e-7,400,15.2,28.2,<1e-7,385,13.7,76.6,<1e-7,4094,53.4,80.3,<1e-7,1463,18.2
90000,5,15.7,<1e-7,158,10.1,21.4,<1e-7,300,14.0,67.4,<1e-7,4442,65.9,43.1,<1e-7,727,16.9
160000,5,11.2,<1e-7,42,3.8,10.7,<1e-7,46,4.3,145.2,3.48e-07,1788,28.1,100.6,<1e-7,1097,10.9
250000,5,7.7,<1e-7,6,0.8,9.3,<1e-7,9,1.0,25.3,<1e-7,103,4.1,41.5,<1e-7,612,14.7
360000,5,17.4,<1e-7,22,1.3,18.8,<1e-7,25,1.3,523.9,1.73e-07,2462,9.1,366.6,<1e-7,1472,4.0
490000,5,312.8,1.77e-07,10,0.5,357.5,4.86e-07,13,0.5,616.9,2.05e-06,5,0.4,577.1,1.10e-06,3,0.4
640000,5,78.7,<1e-7,9,0.1,100.2,<1e-7,11,0.1,594.1,5.71e-07,35,0.3,678.5,1.43e-06,112,0.3
810000,5,525.3,<1e-7,54,0.1,587.4,<1e-7,66,0.1,3600.0,3.83e-06,--,0.1,3600.0,1.65e-06,--,0.1
1000000,5,195.7,<1e-7,43,0.2,373.1,1.66e-07,22,0.2,1464.3,2.31e-06,47,0.2,775.2,1.04e-06,6,0.2
