time termination
181.293392103 1.0
190.21782744 2.0
199.759103949 3.0
214.211997616 4.0
217.368332173 5.0
1663.833303748 6.0
1732.64408607 7.0
1742.731655363 8.0
1809.034309864 9.0
1878.331853502 10.0
3600.0 11.0
3600.0 12.0
3600.0 13.0
3600.0 14.0
3600.0 15.0
3600.0 16.0
3600.0 17.0
3600.0 18.0
3600.0 19.0
3600.0 20.0
3600.0 21.0
3600.0 22.0
3600.0 23.0
3600.0 24.0
3600.0 25.0
3600.0 26.0
3600.0 27.0
3600.0 28.0
3600.0 29.0
3600.0 30.0
3600.0 31.0
3600.0 32.0
3600.0 33.0
3600.0 34.0
3600.0 35.0
3600.0 36.0
3600.0 37.0
3600.0 38.0
3600.0 39.0
3600.0 40.0
3600.0 41.0
3600.0 42.0
3600.0 43.0
3600.0 44.0
3600.0 45.0
3600.0 46.0
3600.0 47.0
3600.0 48.0
3600.0 49.0
3600.0 50.0
