ls_iter termination
0.1520036019810896 1.0
0.152006130603755 2.0
0.1520090200902009 3.0
0.15201298042794847 4.0
0.15201517306780465 5.0
0.15201750326082383 6.0
0.15202082057562769 7.0
0.15202281233291748 8.0
0.15202292486279081 9.0
0.1520259467361016 10.0
0.15202660308696198 11.0
0.15202857871906097 12.0
0.15202984635020372 13.0
0.15202996092053842 14.0
0.15203031389216037 15.0
0.15203336809176224 16.0
0.1520383378192083 17.0
0.1520392998678996 18.0
0.15203994900127496 19.0
0.15204140866873064 20.0
0.15204625119497428 21.0
0.15204836185027257 22.0
0.1520498485907291 23.0
0.15205327413984462 24.0
0.15205594405594405 25.0
0.1520572450805009 26.0
0.15205982681710836 27.0
0.1520762673022275 28.0
0.15208832591578228 29.0
0.15209438448875068 30.0
