time termination
119.347343976 1.0
129.520216782 2.0
142.510339462 3.0
143.736459122 4.0
148.01878276 5.0
1103.199853653 6.0
1147.322317548 7.0
1153.330995766 8.0
1160.001639852 9.0
1264.30092847 10.0
3102.453946653 11.0
3252.732903036 12.0
3390.727270059 13.0
3472.793131499 14.0
3490.543377993 15.0
3600.0 16.0
3600.0 17.0
3600.0 18.0
3600.0 19.0
3600.0 20.0
3600.0 21.0
3600.0 22.0
3600.0 23.0
3600.0 24.0
3600.0 25.0
3600.0 26.0
3600.0 27.0
3600.0 28.0
3600.0 29.0
3600.0 30.0
3600.0 31.0
3600.0 32.0
3600.0 33.0
3600.0 34.0
3600.0 35.0
3600.0 36.0
3600.0 37.0
3600.0 38.0
3600.0 39.0
3600.0 40.0
3600.0 41.0
3600.0 42.0
3600.0 43.0
3600.0 44.0
3600.0 45.0
3600.0 46.0
3600.0 47.0
3600.0 48.0
3600.0 49.0
3600.0 50.0
