time termination
105.406180255 1.0
115.648990077 2.0
125.520794978 3.0
126.381166295 4.0
130.321378996 5.0
1031.810378858 6.0
1038.019282482 7.0
1081.619526086 8.0
1084.225606914 9.0
1183.816409423 10.0
2892.316221974 11.0
3038.112477026 12.0
3146.399784877 13.0
3210.128930666 14.0
3287.17922366 15.0
3600.0 16.0
3600.0 17.0
3600.0 18.0
3600.0 19.0
3600.0 20.0
3600.0 21.0
3600.0 22.0
3600.0 23.0
3600.0 24.0
3600.0 25.0
3600.0 26.0
3600.0 27.0
3600.0 28.0
3600.0 29.0
3600.0 30.0
3600.0 31.0
3600.0 32.0
3600.0 33.0
3600.0 34.0
3600.0 35.0
3600.0 36.0
3600.0 37.0
3600.0 38.0
3600.0 39.0
3600.0 40.0
3600.0 41.0
3600.0 42.0
3600.0 43.0
3600.0 44.0
3600.0 45.0
3600.0 46.0
3600.0 47.0
3600.0 48.0
3600.0 49.0
3600.0 50.0
