time termination
196.688153826 1.0
203.664866389 2.0
218.219106899 3.0
220.138625743 4.0
220.988056151 5.0
1780.743291343 6.0
1890.32666303 7.0
1912.955702603 8.0
1988.419936878 9.0
2047.45795245 10.0
3600.0 11.0
3600.0 12.0
3600.0 13.0
3600.0 14.0
3600.0 15.0
3600.0 16.0
3600.0 17.0
3600.0 18.0
3600.0 19.0
3600.0 20.0
3600.0 21.0
3600.0 22.0
3600.0 23.0
3600.0 24.0
3600.0 25.0
3600.0 26.0
3600.0 27.0
3600.0 28.0
3600.0 29.0
3600.0 30.0
3600.0 31.0
3600.0 32.0
3600.0 33.0
3600.0 34.0
3600.0 35.0
3600.0 36.0
3600.0 37.0
3600.0 38.0
3600.0 39.0
3600.0 40.0
3600.0 41.0
3600.0 42.0
3600.0 43.0
3600.0 44.0
3600.0 45.0
3600.0 46.0
3600.0 47.0
3600.0 48.0
3600.0 49.0
3600.0 50.0
