ls_iter termination
0.75 1.0
0.8999999999999999 2.0
0.9166666666666665 3.0
0.9333333333333331 4.0
0.9473684210526314 5.0
1.0 6.0
1.0 7.0
1.0 8.0
1.0 9.0
1.0 10.0
1.0 11.0
1.0 12.0
1.0 13.0
1.0 14.0
1.0 15.0
1.0 16.0
1.0 17.0
1.0 18.0
1.0 19.0
1.0 20.0
1.0 21.0
1.0 22.0
1.0 23.0
1.0 24.0
1.0 25.0
1.0 26.0
1.0 27.0
1.0 28.0
1.0 29.0
1.0 30.0
1.0 31.0
1.0 32.0
1.0 33.0
1.0 34.0
1.0 35.0
1.0 36.0
1.0 37.0
1.0 38.0
NaN 39.0
NaN 40.0
NaN 41.0
NaN 42.0
NaN 43.0
NaN 44.0
NaN 45.0
NaN 46.0
NaN 47.0
NaN 48.0
NaN 49.0
NaN 50.0
