ls_iter dual_gap
1.0 0.0002026423790114681
1.0 0.00019240486844418776
1.0 0.00020159067497388806
1.0 0.00021370890856319073
1.0 0.00019622096325771517
1.0 0.0002112169065690533
1.0 0.00020172478862018496
1.0 0.00020214668411277768
1.0 0.00020560684067266107
1.0 0.0002135254186199673
1.0 0.00019963006204932524
1.0 0.00020666430089192364
1.0 0.00020910212722085616
1.0 0.0002063388284144185
1.0 0.00021573591587090255
1.0 0.0002409903761879442
1.0 0.000230425878385834
1.0 0.00024063823278965113
1.0 0.00023839634253316948
1.0 0.00022769716236804516
1.0 0.00032452858473495434
1.0 0.0003153603828072833
1.0 0.00030721501568059024
1.0 0.00031298950229022765
1.0 0.0002792199491271604
1.0 0.0004429324889389651
1.0 0.0004400057159861753
1.0 0.0005065531766007571
1.0 0.0004303481551405341
1.0 0.00042841139106253404
1.0 0.0005652753767746244
1.0 0.0005455363725261675
1.0 0.0005461317185512565
1.0 0.0005458341513716845
1.0 0.0005453881583931347
1.0 0.0006622440665334002
1.0 0.0006990480935869917
1.0 0.0006879861725602918
1.0 0.0006894091983778597
1.0 0.0007007632145639622
1.0 0.000704469095658936
1.0 0.0007309888667747356
1.0 0.0007443196459257496
1.0 0.0007293897866149379
1.0 0.0007443202119561595
NaN 5.802284171483464e-8
NaN 6.095279911823126e-8
NaN 9.800906009430075e-8
NaN 4.572018253555077e-8
NaN 9.388701159008356e-8
