time termination
104.646682449 1.0
113.897612055 2.0
121.893707501 3.0
123.430408874 4.0
124.526965786 5.0
996.118422307 6.0
1015.049331109 7.0
1079.644816543 8.0
1096.426812225 9.0
1248.022166199 10.0
2997.072935075 11.0
3105.196170081 12.0
3137.817027929 13.0
3210.540680571 14.0
3388.546324507 15.0
3600.0 16.0
3600.0 17.0
3600.0 18.0
3600.0 19.0
3600.0 20.0
3600.0 21.0
3600.0 22.0
3600.0 23.0
3600.0 24.0
3600.0 25.0
3600.0 26.0
3600.0 27.0
3600.0 28.0
3600.0 29.0
3600.0 30.0
3600.0 31.0
3600.0 32.0
3600.0 33.0
3600.0 34.0
3600.0 35.0
3600.0 36.0
3600.0 37.0
3600.0 38.0
3600.0 39.0
3600.0 40.0
3600.0 41.0
3600.0 42.0
3600.0 43.0
3600.0 44.0
3600.0 45.0
3600.0 46.0
3600.0 47.0
3600.0 48.0
3600.0 49.0
3600.0 50.0
